prefix	assembly
PV_TC-4852A	PV_BVULGATUS4852A_NT5136.1.fa
PV_TC-4889A	PV_BVULGATUS4889A_NT5137.1.fa
PV_TC-4896A	PV_BVULGATUS4896A_NT5138.1.fa
PV_TC-4835B	PV_BVULGATUS4835B_NT5139.1.fa
PV_TC-4889B	PV_BVULGATUS4889B_NT5140.1.fa
PV_TC-D3	PV_BVULGD3_NT5141.1.fa
PV_TC-HDF	PV_HDFBVULGATUS_NT5142.1.fa
PV_TC-KB-M13	PV_TCKBM13_NT5143.1.fa
PV_TC-KB-M20	PV_TCKBM20_NT5144.1.fa
PV_TC-KB-M259	PV_TCKBM259_NT5145.1.fa
PV_TC-39A-CC-B-5824-ARE	PV_39ACCB5824ARE_NT5146.1.fa
PV_TC-KB-P90	PV_TCKBP90_NT5147.1.fa
PV_WCA-389-WT-3C	PV_WCA389WT3C_NT5148.1.fa
PV_CLA-AA-H208	PV_CLAAAH208_NT5149.1.fa
PV_CLA-AA-H253	PV_CLAAAH253_NT5150.1.fa
PV_CLA-JM-H27	PV_CLAJMH27_NT5151.1.fa
PV_CLA-JM-H27-B	PV_CLAJMH27B_NT5152.1.fa
PV_TC-KB-H55	PV_TCKBH55_NT5154.1.fa
PV_CLA-AP-H4	PV_CLAAPH4_NT5157.1.fa
PV_NT5181	PV_MB009PV185_NT5181.1.fa
PV_ET597	PV_ET597_NT5183.1.fa
PV_AN905	PV_AN905_NT5184.1.fa
PV_ET47	PV_ET47_NT5185.1.fa
